clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
i4_i54_MC4R_Ndnf_Cxcl14,HLA_B,0.01963233461012697,4.4594316,0.9358291705449422
i4_i54_MC4R_Ndnf_Cxcl14,LINC01435,0.05997671661958543,7.409391,0.9343852361043294
i4_i54_MC4R_Ndnf_Cxcl14,ADAM33,0.045066097899762576,6.9709826,0.9081125815709432
i4_i54_MC4R_Ndnf_Cxcl14,FAM19A4,0.031505773786505924,6.812055,0.8981287121772766
i4_i54_MC4R_Ndnf_Cxcl14,PGAM1P5,0.02519097773097726,7.832765,0.8902078549067179
i4_i54_MC4R_Ndnf_Cxcl14,CD36,0.03181865228747922,7.988405,0.8710996389389039
i4_i54_MC4R_Ndnf_Cxcl14,BCAS1,0.039069801244522195,5.938642,0.8666666666666667
i5_i47_TRPC3_Ndnf_Car4,SSTR2,0.015552048141102637,6.228819,0.9785941203435262
i5_i47_TRPC3_Ndnf_Car4,KIRREL,0.016240669180787867,5.6724253,0.9754959305127462
i5_i47_TRPC3_Ndnf_Car4,TRPC3,0.022391544069061606,8.129283,0.9525881965955099
i5_i47_TRPC3_Ndnf_Car4,NTNG1,0.04526912566979843,9.0443945,0.9012806336085002
i5_i47_TRPC3_Ndnf_Car4,TARID,0.02584799034081455,5.857981,0.8861951470375061
i5_i47_TRPC3_Ndnf_Car4,EYA4,0.04495711068030538,8.957102,0.880366047223409
i5_i47_TRPC3_Ndnf_Car4,CA2,0.0185826247276058,7.4178524,0.874972935517629
i5_i47_TRPC3_Ndnf_Car4,TACR1,0.022669017081178675,7.5157,0.8629942059516906
i5_i47_TRPC3_Ndnf_Car4,TOX,0.018124608303135524,7.8641863,0.8238353649775187
i5_i47_TRPC3_Ndnf_Car4,CLSTN2,0.020349873490326104,8.6510515,0.8154729247093201
i6_i44_GPR149_Vip_Mybpc1,FLT1,0.0291228669598333,2.4534452,1.0
i6_i44_GPR149_Vip_Mybpc1,PLCE1_AS1,0.02609269902038492,3.2459264,1.0
i6_i44_GPR149_Vip_Mybpc1,CXCL12,0.020732401641420317,3.4594316,1.0
i6_i44_GPR149_Vip_Mybpc1,SLC22A3,0.027942540453899684,3.7046955,0.9910024086634318
i6_i44_GPR149_Vip_Mybpc1,PLCE1_AS2,0.024304147826543717,1.0,0.9666666666666667
i6_i44_GPR149_Vip_Mybpc1,GPR149,0.05550483286384543,7.475642,0.9596717198689778
i6_i44_GPR149_Vip_Mybpc1,SHISA8,0.018701343187880377,2.160964,0.9447011868158977
i6_i44_GPR149_Vip_Mybpc1,IGFBP5,0.023859226023753476,6.4560704,0.9313942233721415
i6_i44_GPR149_Vip_Mybpc1,TAC3,0.017112637191596697,4.038408,0.9168251752853394
i6_i44_GPR149_Vip_Mybpc1,NPR3,0.01760291144326164,5.5390754,0.9084919532140096
i7_i31_CLMP_Ndnf_Cxcl14,KIAA1644,0.015457541954217613,4.70044,1.0
i7_i31_CLMP_Ndnf_Cxcl14,FGF10,0.0152930521748347,2.807355,1.0
i7_i31_CLMP_Ndnf_Cxcl14,CLMP,0.016383617815011613,4.5849624,0.9854597131411235
i7_i31_CLMP_Ndnf_Cxcl14,PAX6,0.025637729024735025,6.3750396,0.960743800799052
i7_i31_CLMP_Ndnf_Cxcl14,SP8,0.017050798964959254,4.0,0.9485839565594991
i7_i31_CLMP_Ndnf_Cxcl14,TGFBR2,0.021334387593963416,5.523562,0.9333333333333333
i7_i31_CLMP_Ndnf_Cxcl14,WIF1,0.03325386554128338,8.447083,0.9242688775062561
i7_i31_CLMP_Ndnf_Cxcl14,ABCB5,0.017829564655137173,4.4594316,0.9149051189422608
i7_i31_CLMP_Ndnf_Cxcl14,HCRTR2,0.019404054500312427,6.523562,0.9018069704373678
i7_i31_CLMP_Ndnf_Cxcl14,GRPR,0.01208990778740622,5.882643,0.8865437746047974
i8_i27_SNCG_Vip_Mybpc1,SNCG,0.020268140532354546,5.169925,1.0
i8_i27_SNCG_Vip_Mybpc1,MMRN2,0.01814352659347331,5.169925,1.0
i8_i27_SNCG_Vip_Mybpc1,EDNRA,0.01647691101565499,5.857981,1.0
i8_i27_SNCG_Vip_Mybpc1,FBN3,0.008252464988622229,1.0,1.0
i8_i27_SNCG_Vip_Mybpc1,KCNK2,0.013986832157341315,5.83289,0.9828558405240376
i8_i27_SNCG_Vip_Mybpc1,RGS2,0.007429177579092497,7.0768156,0.9811591307322184
i8_i27_SNCG_Vip_Mybpc1,SCML4,0.013835312106265664,4.169925,0.9734453439712525
i8_i27_SNCG_Vip_Mybpc1,LYPD1,0.008734421210952338,5.5849624,0.9579561789830525
i8_i27_SNCG_Vip_Mybpc1,SAMD5,0.009208847725195028,7.228819,0.9480902393658955
i8_i27_SNCG_Vip_Mybpc1,ARHGAP18,0.012197241403393152,8.2620945,0.8774418632189432
i9_i22_TAC3_Vip_Mybpc1,BSPRY,0.02202656280001853,2.1961586,1.0
i9_i22_TAC3_Vip_Mybpc1,OFD1P10Y,0.01499386103094272,1.0,1.0
i9_i22_TAC3_Vip_Mybpc1,MCTP2,0.013421125896689338,5.3571224,1.0
i9_i22_TAC3_Vip_Mybpc1,OFD1P8Y,0.012020651484157235,0.5,1.0
i9_i22_TAC3_Vip_Mybpc1,OFD1P15Y,0.010949872458294964,0.5,1.0
i9_i22_TAC3_Vip_Mybpc1,OFD1P9Y,0.009988973990881627,0.5,1.0
i9_i22_TAC3_Vip_Mybpc1,VWC2L_IT1,0.015426700155846653,6.6153107,0.9798447370529175
i9_i22_TAC3_Vip_Mybpc1,PPP1R12BP1,0.00907803754023347,1.2924812,0.9742098093032837
i9_i22_TAC3_Vip_Mybpc1,IQGAP2,0.020402557503996516,6.646161,0.9545296907424927
i9_i22_TAC3_Vip_Mybpc1,TAC3,0.016843016569052797,6.748427,0.950226346651713
