clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
i2_i77_LHX6_Sst_Cbln4,RSPO3,0.019431661351647464,1.0,1.0
i2_i77_LHX6_Sst_Cbln4,GRIK3,0.06546765405342493,7.6293564,0.9912618239720662
i2_i77_LHX6_Sst_Cbln4,SLC27A6,0.02732278028031377,6.8703647,0.8584746281305949
i2_i77_LHX6_Sst_Cbln4,MYO5B,0.023643174780426924,7.312883,0.8363523085912069
i2_i77_LHX6_Sst_Cbln4,FBN2,0.024861364849429052,7.820179,0.8243132710456849
i3_i56_BAGE2_Ndnf_Cxcl14,BAGE2,0.06276505773274017,6.649604,0.98997433980306
i3_i56_BAGE2_Ndnf_Cxcl14,SCN5A,0.02125084576601821,2.160964,0.9691495736440022
i3_i56_BAGE2_Ndnf_Cxcl14,GREM2,0.025547222292491054,5.70044,0.8906636953353881
i3_i56_BAGE2_Ndnf_Cxcl14,SYT10,0.04099489482790442,7.3748035,0.8708965023358662
i3_i56_BAGE2_Ndnf_Cxcl14,ARHGAP18,0.02543181998245249,7.0978785,0.8666666666666667
i3_i56_BAGE2_Ndnf_Cxcl14,GRB14,0.014611207471608193,6.5077076,0.8582553863525391
i3_i56_BAGE2_Ndnf_Cxcl14,PCDH18,0.013034121011373991,6.2205644,0.8486162106196086
i3_i56_BAGE2_Ndnf_Cxcl14,ADAMTSL1,0.015346203500578538,3.3774438,0.7989643613497416
i3_i56_BAGE2_Ndnf_Cxcl14,SEMA3C,0.03258613726366264,8.184662,0.7864393830299378
i3_i56_BAGE2_Ndnf_Cxcl14,GRM8,0.013928184507101642,8.192038,0.7396506190299987
i4_i54_MC4R_Ndnf_Cxcl14,ARHGAP36,0.07690392956647513,8.645603,1.0
i4_i54_MC4R_Ndnf_Cxcl14,MC4R,0.04206356691037386,7.7000394,1.0
i4_i54_MC4R_Ndnf_Cxcl14,COBLL1,0.015693659526171008,5.9307375,0.9662773847579956
i4_i54_MC4R_Ndnf_Cxcl14,LINC01435,0.05259469482739516,7.409391,0.9343852361043294
i4_i54_MC4R_Ndnf_Cxcl14,ADAM33,0.03699473213019103,6.9709826,0.9081125815709432
i4_i54_MC4R_Ndnf_Cxcl14,FAM19A4,0.028909293026952682,6.812055,0.8981287121772766
i4_i54_MC4R_Ndnf_Cxcl14,PGAM1P5,0.016736010770296756,7.832765,0.8902078549067179
i4_i54_MC4R_Ndnf_Cxcl14,CD36,0.025876157998707617,7.988405,0.8710996389389039
i4_i54_MC4R_Ndnf_Cxcl14,BCAS1,0.030675492004099508,5.938642,0.8666666666666667
i4_i54_MC4R_Ndnf_Cxcl14,COL12A1,0.01618134012781151,7.6041174,0.8245254039764405
i5_i47_TRPC3_Ndnf_Car4,SSTR2,0.012388554025911058,6.228819,0.9785941203435262
i5_i47_TRPC3_Ndnf_Car4,KIRREL,0.012524380552990686,5.6724253,0.9754959305127462
i5_i47_TRPC3_Ndnf_Car4,TRPC3,0.018392657277365672,8.129283,0.95258819659551
i5_i47_TRPC3_Ndnf_Car4,NTNG1,0.02598168771207169,9.0443945,0.9012806336085002
i5_i47_TRPC3_Ndnf_Car4,TARID,0.022689838658177777,5.857981,0.8861951470375061
i5_i47_TRPC3_Ndnf_Car4,EYA4,0.03403361200651054,8.957102,0.880366047223409
i5_i47_TRPC3_Ndnf_Car4,CA2,0.014531793998702573,7.4178524,0.874972935517629
i5_i47_TRPC3_Ndnf_Car4,TACR1,0.01782304836323168,7.5157,0.8629942059516906
i5_i47_TRPC3_Ndnf_Car4,CLSTN2,0.017100156319347127,8.6510515,0.8154729247093201
i5_i47_TRPC3_Ndnf_Car4,PDGFRA,0.011636889495159852,6.4594316,0.8064647754033406
